"title","link","description","pub_date"
"Tesla Model Y Performance stands against Jeep Wagoneer S EV in new ad - TESLARATI","https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtbW9kZWwteS1wZXJmb3JtYW5jZS12cy1qZWVwLXdhZ29uZWVyLXMtZXYtdmlkZW8v0gFUaHR0cHM6Ly93d3cudGVzbGFyYXRpLmNvbS90ZXNsYS1tb2RlbC15LXBlcmZvcm1hbmNlLXZzLWplZXAtd2Fnb25lZXItcy1ldi12aWRlby9hbXAv?oc=5","Tesla Model Y Performance stands against Jeep Wagoneer S EV in new ad  TESLARATI","Mon, 27 May 2024 03:35:16 GMT"
"Used Tesla Model Y Demand Surges As Price Drops - Forbes","https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYnJvb2tlY3JvdGhlcnMvMjAyNC8wNS8xOS91c2VkLXRlc2xhLW1vZGVsLXktZGVtYW5kLXN1cmdlcy1hcy1wcmljZS1kcm9wcy_SAQA?oc=5","Used Tesla Model Y Demand Surges As Price Drops  Forbes","Sun, 19 May 2024 07:00:00 GMT"
"Nio's ONVO Wants To Bury Tesla's Model Y With the Brand-New L60 - autoevolution","https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmF1dG9ldm9sdXRpb24uY29tL25ld3MvbmlvLXMtb252by13YW50cy10by1idXJ5LXRlc2xhLXMtbW9kZWwteS13aXRoLXRoZS1icmFuZC1uZXctbDYwLTIzNDY0My5odG1s0gEA?oc=5","Nio's ONVO Wants To Bury Tesla's Model Y With the Brand-New L60  autoevolution","Wed, 29 May 2024 21:38:41 GMT"
"Tesla slashes Model Y production in Shanghai, data shows - Reuters","https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2F1dG9zLXRyYW5zcG9ydGF0aW9uL3Rlc2xhLXNsYXNoZXMtbW9kZWwteS1wcm9kdWN0aW9uLXNoYW5naGFpLWRhdGEtc2hvd3MtMjAyNC0wNS0yNC_SAQA?oc=5","Tesla slashes Model Y production in Shanghai, data shows  Reuters","Fri, 24 May 2024 11:08:00 GMT"
"Tesla Reportedly Cuts Output of Best-Selling Model Y in Shanghai - Investopedia","https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtY3V0cy1vdXRwdXQtbW9kZWwteS1zaGFuZ2hhaS04NjUzNTM10gEA?oc=5","Tesla Reportedly Cuts Output of Best-Selling Model Y in Shanghai  Investopedia","Fri, 24 May 2024 17:45:09 GMT"
"Tesla cuts Model Y production in China as brutal price war hits demand: report - MarketWatch","https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS90ZXNsYS1jdXRzLXByb2R1Y3Rpb24tb2YtbW9kZWwteS1pbi1jaGluYS1hcy1icnV0YWwtcHJpY2Utd2FyLWhpdHMtZGVtYW5kLXJlcG9ydC1mYjExYmRlOdIBf2h0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvdGVzbGEtY3V0cy1wcm9kdWN0aW9uLW9mLW1vZGVsLXktaW4tY2hpbmEtYXMtYnJ1dGFsLXByaWNlLXdhci1oaXRzLWRlbWFuZC1yZXBvcnQtZmIxMWJkZTk?oc=5","Tesla cuts Model Y production in China as brutal price war hits demand: report  MarketWatch","Fri, 24 May 2024 08:32:00 GMT"
"Kia's New EV3 Electric SUV Takes Aim at the Tesla Model 3 - Road & Track","https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LnJvYWRhbmR0cmFjay5jb20vbmV3cy9hNjA4ODMxNTkva2lhLWV2My1hZmZvcmRhYmxlLWVsZWN0cmljLXN1di_SAQA?oc=5","Kia's New EV3 Electric SUV Takes Aim at the Tesla Model 3  Road & Track","Thu, 23 May 2024 15:29:00 GMT"
"Tesla Slashes Model Y Production Amid Shrinking Market Share In China - CarScoops","https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmNhcnNjb29wcy5jb20vMjAyNC8wNS90ZXNsYS1oYXMtc2xhc2hlZC1tb2RlbC15LXByb2R1Y3Rpb24tYXQtaXRzLWNoaW5lc2UtcGxhbnQv0gEA?oc=5","Tesla Slashes Model Y Production Amid Shrinking Market Share In China  CarScoops","Tue, 28 May 2024 15:58:58 GMT"
"Tesla Firmware Hints at Software-Capped Model 3 and Model Y Variants - autoevolution","https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmF1dG9ldm9sdXRpb24uY29tL25ld3MvdGVzbGEtZmlybXdhcmUtaGludHMtYXQtc29mdHdhcmUtY2FwcGVkLW1vZGVsLTMtYW5kLW1vZGVsLXktdmFyaWFudHMtMjM0NTE3Lmh0bWzSAQA?oc=5","Tesla Firmware Hints at Software-Capped Model 3 and Model Y Variants  autoevolution","Mon, 27 May 2024 17:00:33 GMT"
"Avatr 07 Revealed As Yet Another Chinese EV Looking To Shock Tesla Model Y - CarScoops","https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmNhcnNjb29wcy5jb20vMjAyNC8wNS9hdmF0ci0wNy1lbWVyZ2VzLWFzLWxhdGVzdC1ldi1hbmQtZXJldi1tb2RlbC15LXJpdmFsLWZyb20tY2hhbmdhbi1jYXRsLWpvaW50LXZlbnR1cmUv0gEA?oc=5","Avatr 07 Revealed As Yet Another Chinese EV Looking To Shock Tesla Model Y  CarScoops","Wed, 29 May 2024 00:11:15 GMT"
