SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,ImportDate
前金,高雄市,91,細懸浮微粒,普通,2,0.28,0.5,64.2,38,41,19,9.2,10.8,1.6,2.5,282,2021/12/02 14:00:00,31,65,2,120.288086,22.632567,56,2021-12-02 14:20:01.343000
前鎮,高雄市,88,細懸浮微粒,普通,3.5,0.39,0.6,65.9,35,62,25,19.5,22.2,2.6,1.3,351,2021/12/02 14:00:00,30,71,3,120.307564,22.605386,57,2021-12-02 14:20:01.343000
小港,高雄市,92,細懸浮微粒,普通,3.1,0.33,0.5,58.4,28,59,29,24.5,28,3.4,3.2,262,2021/12/02 14:00:00,32,70,2,120.337736,22.565833,58,2021-12-02 14:20:01.343000
屏東,屏東縣,86,細懸浮微粒,普通,3.7,0.46,0.5,77.7,36,69,33,13.9,15.3,1.3,1.8,156,2021/12/02 14:00:00,29,66,2,120.488033,22.673081,59,2021-12-02 14:20:01.343000
潮州,屏東縣,78,細懸浮微粒,普通,4.4,0.37,0.3,85.4,43,72,33,12.5,13.1,0.5,3.8,264,2021/12/02 14:00:00,26,58,2,120.561175,22.523108,60,2021-12-02 14:20:01.343000
恆春,屏東縣,37,,良好,1.6,0.14,0.1,45.9,40,14,2,0.7,1.8,1.1,7.6,33,2021/12/02 14:00:00,5,14,1,120.788928,21.958069,61,2021-12-02 14:20:01.343000
臺東,臺東縣,29,,良好,1.8,0.21,0.2,41.8,31,29,8,4.7,7.1,2.4,2.3,63,2021/12/02 14:00:00,7,21,1,121.15045,22.755358,62,2021-12-02 14:20:01.343000
花蓮,花蓮縣,31,,良好,1.3,0.21,0.2,41,29,26,11,5.3,6.4,1.1,2.9,70,2021/12/02 14:00:00,9,21,0,121.599769,23.971306,63,2021-12-02 14:20:01.343000
陽明,臺北市,32,,良好,1.1,0.2,0.1,40.9,34,20,9,1.9,2.8,0.8,,,2021/12/02 14:00:00,10,19,0,121.529583,25.182722,64,2021-12-02 14:20:01.343000
宜蘭,宜蘭縣,28,,良好,0.7,0.18,0.1,39.7,30,24,6,4.6,5.6,1,1.5,85,2021/12/02 14:00:00,8,21,0,121.746394,24.747917,65,2021-12-02 14:20:01.343000
冬山,宜蘭縣,30,,良好,0.6,0.21,0.2,37.6,28,26,11,9,12.5,3.5,2.7,40,2021/12/02 14:00:00,9,26,0,121.792928,24.632203,66,2021-12-02 14:20:01.343000
三重,新北市,57,二氧化氮,普通,2.4,1.32,1.2,11.3,8,36,19,39,106.7,67.7,-,-,2021/12/02 14:00:00,14,34,1,121.493806,25.072611,67,2021-12-02 14:20:01.343000
中壢,桃園市,48,,良好,,,0.6,26,12,,14,,,,,,2021/12/02 14:00:00,14,37,1,121.221667,24.953278,68,2021-12-02 14:20:01.343000
竹山,南投縣,65,細懸浮微粒,普通,1.6,0.19,0.2,58.2,31,40,21,8.9,10.3,1.4,1,65,2021/12/02 14:00:00,21,39,1,120.677306,23.756389,69,2021-12-02 14:20:01.343000
永和,新北市,34,,良好,0.9,0.32,0.6,37.8,20,33,10,10.1,15.4,5.2,2.4,72,2021/12/02 14:00:00,10,31,0,121.516306,25.017,70,2021-12-02 14:20:01.343000
復興,高雄市,83,細懸浮微粒,普通,2.9,0.41,0.7,64.6,34,59,27,19.8,21.9,2.1,0.7,193,2021/12/02 14:00:00,28,67,2,120.312017,22.608711,71,2021-12-02 14:20:01.343000
埔里,南投縣,58,細懸浮微粒,普通,1.3,0.27,0.3,55.7,31,34,13,4.6,6.1,1.4,2.8,271,2021/12/02 14:00:00,18,35,1,120.967903,23.968842,72,2021-12-02 14:20:01.343000
馬祖,連江縣,77,細懸浮微粒,普通,2.1,0.28,0.3,47.7,34,43,18,5.5,7.4,1.9,2.2,290,2021/12/02 14:00:00,26,44,1,119.949875,26.160469,75,2021-12-02 14:20:01.343000
金門,金門縣,73,細懸浮微粒,普通,3.3,0.3,0.2,56.3,40,63,21,8.9,10.6,1.6,2.6,41,2021/12/02 14:00:00,24,67,2,118.312256,24.432133,77,2021-12-02 14:20:01.343000
馬公,澎湖縣,43,,良好,0.8,0.22,0.1,46,40,31,17,3.9,4.6,0.6,5.8,16,2021/12/02 14:00:00,13,31,0,119.566158,23.569031,78,2021-12-02 14:20:01.343000
關山,臺東縣,26,,良好,0.5,-,-,41.1,28,13,4,2.7,4,1.3,2.1,359,2021/12/02 14:00:00,4,17,1,121.161933,23.045083,80,2021-12-02 14:20:01.343000
麥寮,雲林縣,59,懸浮微粒,普通,1.7,0.21,0.2,51.2,35,71,17,5.5,6.4,0.8,7.5,3,2021/12/02 14:00:00,14,59,3,120.251825,23.753506,83,2021-12-02 14:20:01.343000
富貴角,新北市,50,,良好,0.3,0.16,0.1,51.5,44,59,12,2.2,2.4,0.1,8.1,32,2021/12/02 14:00:00,11,50,0,121.54738,25.29228,84,2021-12-02 14:20:01.343000
大城,彰化縣,35,,良好,1.2,0.17,0.1,51.5,36,38,11,3.8,4.4,0.6,11.7,20,2021/12/02 14:00:00,10,35,2,120.26964167,23.85493056,85,2021-12-02 14:20:01.343000
高雄(湖內),高雄市,73,細懸浮微粒,普通,1.6,0.25,0.4,61.3,26,43,14,11,12.1,1.1,1.6,294,2021/12/02 14:00:00,24,52,2,120.24535,22.87985556,202,2021-12-02 14:20:01.343000
臺南(麻豆),臺南市,55,細懸浮微粒,普通,2.6,0.22,0.2,56.3,30,49,13,6.6,7.8,1.1,3.3,7,2021/12/02 14:00:00,17,46,1,120.24583056,23.17904722,203,2021-12-02 14:20:01.343000
屏東(琉球),屏東縣,87,細懸浮微粒,普通,2,0.35,0.4,67.9,45,58,27,6.3,7.1,0.8,2.3,316,2021/12/02 14:00:00,30,63,3,120.37722,22.35222,204,2021-12-02 14:20:01.343000
新北(樹林),新北市,38,,良好,0.8,0.3,0.3,23.5,15,20,17,19.4,27.5,8,1.1,240,2021/12/02 14:00:00,11,20,0,121.38352778,24.94902778,311,2021-12-02 14:20:01.343000
臺南(學甲),臺南市,52,懸浮微粒,普通,1.1,0.24,0.2,41,27,91,22,8.4,12.4,4,3.4,357,2021/12/02 14:00:00,15,52,1,120.18339722,23.23688056,312,2021-12-02 14:20:01.343000
屏東(枋寮),屏東縣,71,細懸浮微粒,普通,1.5,0.27,0.3,75.7,44,55,22,7.2,7.3,0,1.1,278,2021/12/02 14:00:00,23,54,0,120.59036944,22.38474167,313,2021-12-02 14:20:01.343000
