股票代號,股票名稱,收盤價,月平均價
"00916","國泰全球品牌50","14.77","14.79"
"00917","中信特選金融","15.02","15.15"
"00918","大華優利高填息30","15.20","15.17"
"00919","群益台灣精選高息","16.60","16.67"
"00920","富邦ESG綠色電力","17.54","17.21"
"01001T","土銀富邦R1","16.41","16.71"
"01002T","土銀國泰R1","17.98","17.99"
"01003T","兆豐新光R1","20.60","20.60"
"01004T","土銀富邦R2","15.70","15.63"
"01007T","兆豐國泰R2","17.90","18.02"
"01009T","王道圓滿R1","8.43","8.45"
"01010T","京城樂富R1","10.04","9.97"
"020000","富邦特選蘋果N","","6.88"
"020002","元富新中國N","","12.81"
"020007","凱基臺灣500N","","31.11"
"020011","統一微波高息20N","","6.88"
"020012","富邦行動通訊N","6.45","6.46"
"020015","統一MSCI美低波N","","15.02"
"020016","統一MSCI美科技N","","16.50"
"020018","統一價值成長30N","14.38","14.40"
"020019","統一特選台灣5GN","","12.17"
"02001L","富邦蘋果正二N","9.18","9.27"
"02001R","富邦蘋果反一N","2.97","2.97"
"02001S","策元大加權策略N","4.96","4.93"
"020020","元大台股領航N","6.40","6.49"
"020022","元大電動車N","5.22","5.21"
"020028","元大特選電動車N","5.04","5.03"
"020029","元大ESG高股息N","4.45","4.49"
"020030","統一智慧電動車N","3.99","4.00"
"020031","統一IC設計臺灣N","3.50","3.50"
"020032","元大綠能N","4.92","4.87"
"020034","元大IC設計N","4.18","4.21"
"030001","華新凱基29購02","2.57","2.56"
"030002","聯發科凱基25購17","0.92","1.32"
"030003","裕民凱基28購01","3.76","3.15"
"030004","長榮航凱基2B購01","3.02","2.85"
"030005","晶豪科凱基25購02","0.76","0.98"
"030006","大立光凱基25購07","0.98","1.08"
"030007","大立光凱基25購08","0.97","1.00"
"030008","大立光凱基26購04","","1.13"
"030009","智原凱基25購03","1.23","1.33"
"030010","敦泰凱基29購02","0.72","0.79"
"030011","致伸凱基25購02","1.31","1.37"
"030012","新唐凱基25購06","1.34","1.39"
"030013","全訊凱基25購01","1.09","1.20"
"030014","祥碩凱基27購01","1.52","1.76"
"030015","聯茂凱基25購04","1.95","2.05"
"030016","致新凱基25購01","1.31","1.28"
"030017","富鼎凱基28購01","0.81","0.90"
"030018","威盛中信25購01","1.26","1.33"
"030019","大立光中信25購03","0.35","0.39"
"03001P","臺股指群益23售16","0.52","0.60"
"030020","大立光中信26購03","0.40","0.44"
"030021","志強中信25購01","0.64","0.84"
"030022","振樺電中信25購01","","0.37"
"030023","台積電國泰27購08","2.69","2.77"
"030024","台積電國泰27購09","2.20","2.35"
"030025","華新法興25購01","1.63","1.66"
"030026","可成法興25購01","0.86","1.03"
"030027","大立光法興25購01","2.33","2.55"
"030028","群創法興25購02","0.76","0.95"
"030029","日月光法興25購01","3.39","3.76"
"03002P","長榮元大24售32","","0.93"
"030030","慧洋富邦26購01","1.07","0.88"
"030031","智原富邦29購01","0.68","0.70"
"030032","敦泰富邦26購01","","0.83"
"030033","臺股指富邦26購04","","0.91"
"030034","電子類富邦26購01","","1.08"
"030035","元石油元大25購02","","0.40"
"030036","道瓊反元大28購03","0.67","0.68"
"030037","美指2X元大26購01","0.54","0.64"
"030038","台泥元大25購02","","1.72"
"030039","中砂元大25購04","1.36","1.41"
"03003P","臺股指群益23售17","1.49","1.56"
"030040","裕隆元大25購11","5.10","4.95"
"030041","鴻海元大2A購08","1.44","1.52"
"030042","鴻海元大2B購03","","1.66"
"030043","國巨元大25購06","1.95","1.89"
"030044","台積電元大2A購21","2.70","2.75"
"030045","台積電元大2B購08","2.41","2.48"
"030046","技嘉元大25購05","1.10","0.84"
"030047","威盛元大25購06","1.31","1.38"
"030048","京元電元大25購03","1.71","1.51"
"030049","宏達電元大2B購02","1.89","1.93"
"03004P","臺股指群益23售18","1.73","1.84"
"030050","萬海元大25購07","","0.93"
"030051","慧洋元大25購04","1.67","1.49"
"030052","大立光元大29購04","1.58","1.55"
"030053","大立光元大2A購01","1.32","1.27"
"030054","大立光元大2B購01","","1.59"
"030055","聯詠元大25購04","1.43","1.31"
"030056","智原元大25購03","","1.61"
"030057","智原元大2A購01","1.60","1.71"
"030058","晶睿元大28購02","2.16","2.06"
"030059","敦泰元大27購03","0.97","1.08"
"03005P","臺股指群益23售19","2.10","2.25"
"030060","材料元大25購03","1.99","1.88"
"030061","新唐元大25購02","","0.85"
"030062","祥碩元大25購06","1.29","1.45"
"030063","嘉聯益元大25購04","0.47","0.68"
"030064","晶心科元大25購02","1.35","1.32"
"030065","緯穎元大25購09","","1.76"
"030066","力智元大25購03","0.83","0.95"
"030067","威鋒電元大25購03","1.35","1.63"
"030068","南電元大2B購03","1.65","1.86"
"030069","南茂元大25購01","","0.76"
"03006P","臺股指群益23售20","2.43","2.62"
"03006X","元展06","68.00","69.00"
"030070","欣興兆豐27購02","0.88","1.05"
"030071","晶心科兆豐25購01","0.85","0.83"
"030072","技嘉永豐26購01","0.90","0.70"
"030073","華擎永豐26購01","1.44","0.96"
"030074","大立光統一28購02","0.75","0.74"
"030076","臺指反元富28購01","0.69","0.69"
"030077","義隆元富27購01","0.63","0.59"
"030078","祥碩元富26購01","1.68","1.85"
"030079","晶心科元富25購03","1.04","1.02"
"03007P","鴻海元大23售17","","0.95"
"030080","臺指反凱基2B購04","0.43","0.42"
"030081","台泥凱基25購01","1.58","1.64"
"030082","中興電凱基25購01","2.56","1.98"
"030083","中砂凱基27購01","1.16","1.17"
"030084","裕隆凱基25購02","6.80","6.28"
"030085","鴻海凱基26購06","0.84","0.93"
"030086","美律凱基25購01","","1.57"
"030087","全新凱基25購02","1.50","2.09"
"030088","揚明光凱基25購03","0.58","0.75"
"030089","華擎凱基26購02","2.11","1.34"
"03008P","台積電元大23售66","0.98","1.18"
"030090","嘉澤凱基26購03","2.10","1.88"
"030091","碩天凱基26購01","0.86","1.07"
"030092","啟碁凱基26購02","1.08","1.25"
"030093","晶心科凱基25購06","0.90","0.87"
"030094","嘉基凱基26購01","1.31","1.12"
"030095","T50反1國票25購03","","0.51"
"030096","T50反1國票26購02","0.51","0.51"
"030097","T50反1國票26購03","","0.71"
"030098","T50反1國票27購03","0.62","0.61"
"030099","T50反1國票28購04","","0.43"
"03009P","華邦電元大23售02","0.86","0.88"
"030100","滬深2X國票26購03","2.39","2.39"
"030101","台泥國票26購01","1.42","1.54"
"030102","為升國票26購01","2.50","2.28"
"030103","國巨國票26購01","2.56","2.47"
"030104","台積電國票26購04","","1.28"
"030105","台積電國票27購02","","1.37"
"030106","威盛國票26購02","3.32","3.40"
"030107","南亞科國票26購02","0.89","0.93"
"030108","宏達電國票26購02","1.58","1.75"
"030109","欣興國票26購04","","3.23"
"03010P","華航元大23售11","2.38","2.53"
"030110","總太國票25購01","0.46","0.53"
"030111","華擎國票26購02","4.78","3.44"
"030112","嘉澤國票26購01","3.94","3.81"
"030113","致伸國票26購02","2.65","2.72"
"030114","祥碩國票25購02","1.05","1.33"
"030115","祥碩國票27購01","1.25","1.41"
"030116","晶心科國票26購04","","1.12"
"030117","滬深2X中信26購02","","1.06"
"030118","滬深2X中信28購01","1.76","1.83"
"030119","台泥中信25購01","0.63","0.73"
"03011P","中信金元大23售02","0.40","0.42"
"030120","華新中信29購01","2.77","2.78"
"030121","中華中信25購01","1.97","2.15"
"030122","為升中信26購01","0.54","0.50"
"030123","技嘉中信26購01","0.46","0.35"
"030124","全新中信25購01","0.55","0.72"
"030125","祥碩中信26購01","0.38","0.42"
"030126","祥碩中信27購01","0.38","0.45"
"030127","中鴻元大25購02","2.26","1.56"
"030128","裕隆元大25購12","5.90","5.52"
"030129","裕隆元大29購02","5.05","4.71"
"03012P","奇鋐元大23售07","0.18","0.23"
"03012X","元展12","","15.65"
"030130","裕隆元大2A購01","4.53","4.36"
"030131","為升元大25購02","1.21","1.10"
"030132","華通元大25購03","1.17","1.43"
"030133","鴻海元大2B購04","","1.56"
"030134","國巨元大25購07","2.19","2.10"
"030135","台積電元大29購28","1.29","1.34"
"030136","台積電元大2A購22","1.32","1.35"
"030137","台積電元大2B購09","1.34","1.37"
"030138","威盛元大25購08","1.52","1.67"
"030139","長榮元大2B購02","2.19","2.18"
"03013P","康普元大25售01","","0.81"
"03013X","元展13","","16.87"
"030140","慧洋元大25購05","1.75","1.46"
"030141","大立光元大25購10","0.89","0.92"
"030142","大立光元大29購05","1.14","1.15"
"030143","大立光元大2A購02","1.06","1.03"
"030144","智原元大25購04","","1.40"
"030145","欣興元大2B購03","1.50","1.68"
"030146","台勝科元大25購03","1.07","1.17"
"030147","瑞鼎元大25購03","1.27","1.30"
"030148","祥碩元大25購07","1.24","1.37"
"030149","祥碩元大29購01","1.40","1.57"
"03014P","祥碩元大23售05","1.62","1.54"
"03014X","元展14","","35.70"
"030150","祥碩元大2A購03","1.56","1.66"
"030151","聯茂元大25購03","1.84","1.84"
"030152","聯茂元大2A購01","","1.84"
"030153","晶心科元大25購03","0.92","0.98"
"030154","緯穎元大25購10","1.45","1.43"
"030155","力智元大27購01","","1.74"
"030156","南電元大2B購04","0.91","1.03"
"030157","元黃金富邦28購01","","1.24"
"030158","道瓊反富邦25購02","","0.56"
"030159","台積電富邦26購09","1.24","1.29"
"03015P","愛普元大25售01","0.29","0.30"
"030160","旺宏富邦28購01","0.84","0.86"
"030161","微星富邦28購01","0.60","0.59"
"030162","潤泰全富邦26購01","1.14","1.12"
"030163","瑞鼎富邦25購01","0.42","0.44"
"030164","滬深2X群益27購04","1.55","1.47"
"030165","NASDAQ群益25購02","","1.80"
"030166","臺指反群益27購01","","0.50"
"030167","FBNQ反群益27購02","0.79","0.81"
"030168","第一銅群益25購03","","1.76"
"030169","中華群益25購01","","4.41"
"03016P","力積電元大23售12","","0.61"
"030170","鴻海群益26購01","0.72","0.80"
"030171","鴻海群益26購02","0.64","0.75"
"030172","台積電群益27購09","","2.28"
"030173","台積電群益27購10","","3.56"
"030174","台積電群益28購03","2.63","2.79"
"030175","華航群益25購02","2.54","2.27"
"030176","華航群益25購03","1.79","1.59"
"030177","萬海群益25購03","0.88","0.84"
"030178","萬海群益25購04","1.88","1.78"
"030179","萬海群益25購05","","2.37"
"03017P","南電元大23售28","","0.31"
"03017X","元展17","8.85","9.07"
"030180","慧洋群益26購01","1.22","1.07"
"030181","大立光群益25購10","2.02","2.19"
"030182","智原群益25購03","1.84","1.89"
"030183","晶心科群益27購01","0.67","0.68"
"030184","晶心科群益29購01","0.54","0.56"
"030185","威鋒電群益27購03","","1.86"
"030186","志強群益25購01","1.73","2.14"
"030187","AES群益27購01","1.69","2.15"
"030188","臺指反國票27購01","","0.61"
"03018P","臺股指法興23售05","2.05","2.27"
"030190","美指2X國票27購01","0.55","0.62"
"030191","義隆國票26購01","","1.51"
"030192","怡利電國票27購01","","1.80"
"030193","王品國票26購02","","1.93"
"030194","晶豪科國票26購01","","1.00"
"030195","揚明光國票26購03","2.24","3.13"
"030196","華擎國票26購03","3.13","2.13"
"030197","上緯控國票26購01","0.94","1.06"
"030198","天鈺國票25購02","1.06","1.06"
"030199","天鈺國票26購01","1.08","1.11"
"03019P","長榮元大24售33","","1.21"
"03019X","元展19","","10.90"
"030200","中興電統一27購02","1.61","1.37"
"030201","晶豪科統一27購01","","0.55"
"030202","玉晶光統一28購01","0.69","0.69"
"030203","台積電兆豐27購06","1.00","1.05"
"030204","祥碩兆豐25購01","","1.16"
"030205","中砂康和25購01","0.98","1.03"
"030206","玉晶光康和25購01","0.84","0.93"
"030207","中興電永豐26購01","4.03","3.12"
"030208","裕隆永豐25購01","2.12","2.08"
"030209","愛普永豐26購02","0.90","1.11"
"03020P","臺股指法興23售06","1.86","1.99"
"030210","富鼎永豐26購01","1.06","1.26"
"030211","裕隆元富25購03","3.00","2.90"
"030212","旺宏元富26購02","","1.41"
"030213","瑞鼎元富25購01","0.81","0.83"
"030214","瑞鼎元富25購02","1.43","1.52"
"030215","祥碩元富27購02","1.06","1.20"
"030216","GIS元富28購01","1.31","1.23"
"030217","台積電麥證25購09","1.35","1.58"
"030218","台積電麥證25購10","2.22","2.53"
"030219","台積電麥證25購11","","1.30"
"03021P","臺股指法興23售07","1.07","1.08"
"030220","台積電麥證26購08","","0.97"
"030221","美食麥證27購01","","2.35"
"030222","王品麥證25購01","1.32","1.36"
"030223","智原麥證25購01","1.40","1.51"
"030224","滬深2X凱基27購02","2.42","2.23"
"030225","中砂凱基25購04","1.36","1.40"
"030226","中鴻凱基27購01","1.91","1.20"
"030227","裕隆凱基27購02","3.41","3.32"
"030228","為升凱基27購01","1.34","1.25"
"030229","鴻海凱基29購02","","1.29"
"03022P","陽明元大24售15","","1.17"
"03022X","富展01","","27.33"
"030230","旺宏凱基25購03","1.26","1.22"
"030231","光罩凱基25購03","3.75","4.18"
"030232","建準凱基25購03","2.00","2.00"
"030233","義隆凱基25購01","","1.79"
"030234","怡利電凱基26購01","2.21","2.48"
"030235","怡利電凱基28購02","1.50","1.70"
"030236","漢翔凱基25購01","2.50","2.38"
"030237","材料凱基26購02","1.58","1.52"
"030238","祥碩凱基27購02","1.09","1.25"
"030239","啟碁凱基25購04","","2.31"
"03023P","臺股指法興23售08","3.02","3.12"
"030240","穎崴凱基25購01","4.74","6.06"
"030241","台灣50元大28購04","1.31","1.49"
"030242","台灣50元大28購05","","1.42"
"030243","台灣50元大28購06","","1.40"
"030244","台灣50元大29購01","1.46","1.60"
"030245","台灣50元大29購02","","1.85"
"030246","滬深2X元大28購02","2.81","2.58"
"030247","滬深2X元大29購01","2.65","2.56"
"030248","道瓊銀元大28購01","","1.11"
"030249","中砂元大25購05","","1.27"
"03024P","臺股指法興23售09","3.80","3.99"
"030250","華新元大29購03","2.57","2.58"
"030251","華新元大2A購06","2.57","2.61"
"030252","華新元大2B購02","2.74","2.74"
"030253","大成鋼元大25購02","3.05","2.51"
"030254","華通元大25購04","1.74","1.99"
"030255","台積電元大29購29","","1.43"
"030256","台積電元大2A購23","1.07","1.10"
"030257","台積電元大2B購10","1.07","1.22"
"030258","技嘉元大25購06","0.67","0.47"
"030259","義隆元大25購01","1.68","1.87"
"030260","義隆元大2A購01","1.90","1.96"
"030261","宏達電元大25購12","2.04","2.31"
"030262","晶豪科元大25購02","","1.49"
"030263","晶豪科元大25購03","1.12","1.26"
"030264","大立光元大29購06","1.22","1.22"
"030265","大立光元大2A購03","1.00","0.93"
"030266","大立光元大2B購02","1.12","1.12"
"030267","智原元大2B購01","1.63","1.65"
"030268","瑞鼎元大25購04","1.53","1.57"
"030269","致伸元大25購06","0.92","0.99"
"03026P","鴻海富邦23售03","0.75","0.73"
"03026X","元展23","","4.70"
"030270","新唐元大25購03","0.92","0.93"
"030271","元晶元大25購05","1.52","1.41"
"030273","威鋒電元大25購04","","1.59"
"030274","振樺電元大25購02","","0.91"
"030275","裕隆中信25購01","1.28","1.24"
"030276","愛普中信28購02","0.30","0.37"
"030277","聯發科國泰27購02","0.70","0.98"
"030278","聯發科國泰27購03","1.16","1.69"
"030279","長榮國泰27購04","1.40","1.47"
"03027P","大立光富邦28售02","0.46","0.48"
"03027X","元展24","","8.78"
"030280","國巨富邦26購06","1.39","1.33"
"030281","華碩富邦26購01","1.24","1.45"
"030282","大立光富邦29購01","","0.70"
"030283","玉晶光富邦25購01","1.10","1.17"
"030284","群創富邦26購01","0.47","0.59"
"030285","聯合再富邦27購01","0.65","0.70"
"030286","天鈺富邦26購01","0.59","0.60"
"030287","力智富邦27購02","","0.87"
"030289","元石油群益25購02","","1.51"
"03028P","臺股指富邦23售04","1.42","1.50"
"030290","道瓊反群益29購04","","0.73"
"030291","東鋼群益25購01","1.61","1.66"
"030292","大成鋼群益25購02","3.14","2.83"
"030293","允強群益25購01","1.21","1.16"
"030294","金像電群益25購04","1.89","2.04"
"030295","友達群益25購03","0.65","0.82"
"030296","怡利電群益29購02","2.51","2.77"
"030297","宏達電群益29購01","5.15","5.68"
"030298","長榮群益25購14","5.70","6.22"
"030299","大立光群益25購11","1.99","2.03"
"03029P","元黃金群益23售01","","0.45"
"03029Q","恒指麥證1C售03","","0.24"
"03029X","元展26","26.10","26.32"
"030300","正文群益27購01","1.67","1.76"
"030301","嘉聯益群益25購02","0.64","1.01"
"030302","愛普群益28購02","","2.16"
"030303","世紀鋼群益25購03","1.28","1.21"
"030304","元石油國票25購03","","1.40"
"030305","元石油國票26購02","","1.11"
"030306","美指2X國票28購01","","0.57"
"030307","和大國票25購02","1.16","1.15"
