股票代號,股票名稱,收盤價,月平均價
"069888","味全凱基1C購01","","0.02"
"06988P","祥碩群益22售02","","1.57"
"069890","力麗凱基1C購01","","0.11"
"069893","中纖凱基1C購01","","0.05"
"069903","精英凱基1C購01","","0.38"
"069906","聯發科凱基2B購01","0.20","0.27"
"069912","大立光凱基23購01","","0.11"
"069918","世芯凱基23購01","0.05","0.07"
"069920","麗豐凱基1C購01","","0.08"
"069921","台耀凱基1C購01","0.53","0.59"
"069924","瑞祺凱基1C購01","","0.23"
"06992P","陽明凱基21售10","","2.15"
"06993P","陽明凱基24售02","","1.92"
"069940","元油反元大1C購06","","1.17"
"069941","元油反元大23購01","0.47","0.53"
"06994P","玉晶光凱基25售01","0.15","0.17"
"06996P","台積電元富21售13","","0.11"
"069975","上緯控元大1C購01","","0.10"
"06997P","長榮元富21售11","","0.12"
"06998P","萬海元富21售03","1.78","1.93"
"06999P","長榮航元富21售06","0.54","0.79"
"070003","台達電第一23購01","","1.03"
"070004","鴻海第一23購03","","0.53"
"07002P","東鹼國票23售01","","0.40"
"070032","美律凱基1C購01","","0.33"
"070033","聯發科凱基26購01","","0.02"
"070034","宏盛凱基1C購01","","0.23"
"070041","欣興凱基23購01","","0.01"
"070042","力特凱基1C購01","","0.04"
"070044","智伸科凱基1C購01","","0.40"
"07004P","光罩國票23售02","0.12","0.13"
"07005P","聯陽國票22售01","","0.08"
"07006P","聯陽國票23售01","","0.04"
"070071","陽明統一1C購06","","0.01"
"070075","晶豪科統一1C購02","","0.01"
"070076","力特統一23購01","0.43","0.49"
"070077","建漢統一23購01","0.10","0.11"
"070079","亞德客永豐1C購01","","0.31"
"07007P","揚明光國票23售01","","0.11"
"07008P","嘉澤國票23售01","","0.06"
"070095","啟碁永豐1C購01","","1.94"
"07009P","辛耘國票22售02","","0.18"
"07012P","三福化國票23售01","1.02","1.04"
"07014P","台表科國票23售01","0.16","0.21"
"07015P","世紀鋼國票22售01","","0.62"
"070162","友訊元富23購01","0.15","0.17"
"070163","鴻準元富23購01","","0.07"
"070164","美律元富21購01","","0.56"
"070166","大立光元富23購02","2.55","2.64"
"07017P","美時元大21售05","","0.03"
"070180","精英永豐21購01","0.10","0.13"
"070188","王品永豐21購01","","1.31"
"070189","大立光永豐21購01","","1.47"
"070212","道瓊銀富邦23購01","","0.07"
"070216","宏達電統一23購01","","0.76"
"07021P","力積電元大21售07","0.93","0.98"
"070220","耀登統一21購01","","0.02"
"070223","元油反中信21購01","","0.07"
"070227","中興電凱基21購01","0.45","0.32"
"07022P","T50正2富邦22售03","0.24","0.30"
"070231","裕隆凱基21購01","","10.50"
"070237","可成凱基21購01","","0.67"
"07023P","長榮中信24售02","0.84","0.83"
"07024P","東鋼群益21售02","","0.14"
"070253","啟碁凱基21購01","","4.38"
"070254","騰輝電凱基21購01","","0.07"
"070263","T50反1元大23購02","","0.66"
"070267","亞德客元大21購01","","0.14"
"07026P","南亞科國票23售01","","0.03"
"070277","裕隆元大21購01","","12.10"
"07027P","乙盛國票24售01","","0.19"
"070291","仲琦元大21購01","","2.29"
"070292","美律元大21購01","0.19","0.48"
"070294","可成元大21購01","1.68","1.88"
"07029P","穎崴國票23售01","","0.12"
"070302","信邦元大21購01","0.39","0.31"
"070307","啟碁元大21購01","","3.81"
"070308","旭隼元大21購01","0.58","0.58"
"070309","捷敏元大21購01","","0.09"
"07030P","亞德客凱基21售03","","0.06"
"070317","華紙群益22購01","","0.05"
"070319","可成群益21購01","0.18","0.48"
"07031P","亞德客凱基24售01","0.12","0.12"
"070324","瀚宇博群益21購01","","0.04"
"07033P","華碩凱基21售02","","0.18"
"07034P","華碩凱基21售03","","0.01"
"07035P","瑞昱凱基21售03","0.18","0.29"
"070363","為升元富21購01","0.11","0.13"
"070364","金寶元富21購01","","0.04"
"07038P","義隆凱基21售01","0.93","1.35"
"070390","中碳凱基21購01","","0.07"
"07039P","華航凱基21售03","0.48","0.70"
"07040P","華航凱基23售02","","0.24"
"070413","旭隼凱基21購01","1.42","1.39"
"07041P","長榮航凱基21售06","","0.08"
"070424","鴻海元大21購02","","0.06"
"070436","台驊控元大24購01","0.02","0.04"
"07043P","陽明國泰23售03","2.06","2.04"
"07044P","台灣50台新21售03","","0.12"
"070461","台積電第一33購01","","0.53"
"070462","長榮第一29購02","","0.43"
"07046P","飛捷元富21售02","","1.28"
"07047P","宏碁麥證21售02","0.01","0.01"
"070485","可成國票21購01","","0.30"
"07048P","長榮麥證23售03","0.96","0.96"
"07049P","臺股指麥證25售01","","0.94"
"070500","力特統一26購01","0.22","0.25"
"07050P","台積電元大21售25","","0.07"
"070518","茂矽群益21購01","","0.07"
"070520","鴻準群益22購01","","0.06"
"07052P","慧洋元大21售03","","0.34"
"070531","嘉聯益群益21購01","","0.29"
"07053P","臺股指元大21售23","0.03","0.06"
"07054P","臺股指元大21售24","0.21","0.29"
"070558","鴻海中信24購01","","0.24"
"070559","鴻海中信24購02","0.08","0.12"
"07055P","臺股指元大21售25","0.22","0.26"
"07056P","臺股指元大23售31","","0.23"
"07057P","臺股指元大23售32","","0.52"
"070584","禾伸堂元富21購01","","0.10"
"07058P","臺股指元大23售33","0.46","0.50"
"070590","中興電元大24購01","1.12","0.88"
"07059P","台灣50永豐21售01","","0.03"
"070605","茂矽元大21購01","","0.05"
"070618","日電貿元大21購01","0.11","0.11"
"07061P","台積電中信25售04","0.30","0.34"
"070620","嘉聯益元大21購01","0.02","0.22"
"070623","GIS元大21購01","","0.02"
"070631","臺股指元大23購01","","0.01"
"07063P","臺股指永豐21售01","","0.03"
"07064P","仁寶凱基21售01","","0.06"
"07065P","台積電凱基21售21","","0.01"
"07066P","國泰金凱基25售01","0.32","0.33"
"07067P","台灣50群益21售08","0.10","0.14"
"07068P","台灣50群益21售09","","0.28"
"07069P","台灣50群益22售02","","0.31"
"07070P","長榮航群益21售06","0.17","0.35"
"070713","華城統一21購01","","0.38"
"070714","華城統一24購01","0.41","0.39"
"070716","玉山金統一21購01","0.01","0.01"
"07071P","敦泰群益21售02","","1.28"
"070720","上品統一21購01","0.80","0.89"
"070721","上品統一24購01","0.73","0.80"
"070722","元晶統一21購01","","0.07"
"070723","元晶統一21購02","","0.02"
"070724","元晶統一24購01","0.05","0.07"
"07073P","臺股指群益21售10","","0.07"
"07074P","臺股指群益21售11","","0.11"
"070752","台塑富邦23購01","","0.10"
"070756","台達電富邦23購01","0.60","0.69"
"07075P","臺股指群益21售12","","0.19"
"070767","華城元富21購01","0.84","0.92"
"07076P","臺股指群益21售13","0.11","0.20"
"07077P","聯發科兆豐21售02","","0.01"
"070780","力積電元富24購01","0.06","0.06"
"07078P","聯發科麥證24售02","0.25","0.21"
"070797","寶齡元大21購01","1.68","1.59"
"07080P","國泰金麥證21售02","0.43","0.39"
"070815","臻鼎元大21購01","0.28","0.56"
"07081P","順德國票23售01","","0.06"
"070820","元晶元大21購02","","0.01"
"070827","和潤元大21購01","","0.02"
"070834","統一實元大21購01","","0.11"
"07083P","國泰金國票23售01","","0.20"
"07084P","南電國票23售02","","0.35"
"07085P","台灣50元富21售03","0.09","0.12"
"07086P","台灣50元富21售04","","0.10"
"070895","高股息第一26購01","0.39","0.42"
"070897","聯發科第一26購01","0.59","0.68"
"07090P","台灣50元大21售10","","0.04"
"070912","聯詠國票21購02","","0.01"
"07092P","台灣50元大21售12","0.18","0.25"
"07093P","台灣50元大23售10","","0.28"
"07094P","台灣50元大23售11","","0.57"
"07096P","亞德客元大21售04","0.24","0.24"
"07097P","國巨元大21售03","","0.04"
"070990","台灣50中信23購01","","0.01"
"07100P","宏碁元大24售01","","0.20"
"07101P","瑞昱元大21售03","0.22","0.35"
"071021","聯發科統一24購01","0.22","0.33"
"071028","大立光統一24購01","","1.95"
"07102P","友達元大24售03","","0.41"
"071033","臻鼎統一21購01","0.14","0.30"
"07103P","友達元大25售01","","0.33"
"071048","中興電元大21購01","1.25","0.94"
"07105P","立積元大21售01","0.21","0.24"
"071074","晶技元大21購01","","0.07"
"07107P","台灣50中信23售06","","0.31"
"07108P","臺指2X中信23售02","0.46","0.49"
"07109P","臺股指中信21售01","0.13","0.14"
"071106","和碩富邦23購01","","0.15"
"071107","中石化第一26購01","0.28","0.28"
"07110P","鴻海康和23售03","","0.29"
"07113P","聯電群益22售03","","0.08"
"071164","聯發科國泰22購01","","0.22"
"07116P","上海銀群益21售01","1.20","1.39"
"071174","滬深2X凱基21購02","","0.09"
"07117P","力積電群益23售01","","1.33"
"071186","聯發科凱基22購01","","0.06"
"07119P","長榮航國泰23售01","1.07","1.16"
"07120P","微星凱基23售01","","0.02"
"071217","台積電統一21購02","","0.11"
"071229","力積電統一21購01","","0.01"
"07123P","滬深2X元大23售06","2.24","2.31"
"07126P","金像電元大21售03","","0.06"
"071277","智易元富21購01","","0.18"
"07128P","長榮元大21售21","0.24","0.36"
"071292","臺股指麥證22購01","","0.01"
"071294","旺宏富邦22購01","0.34","0.36"
"07130P","台積電元富21售16","","0.01"
"07132P","國泰金元富21售01","","0.57"
"07134P","台塑麥證21售01","0.30","0.36"
"071372","聯發科元富21購13","0.21","0.47"
"071387","台積電統一34購01","0.41","0.42"
"071389","聯發科統一34購01","","1.13"
"07138P","玉晶光國票22售01","0.41","0.53"
"071393","長榮統一34購01","0.18","0.18"
"071395","萬海統一34購01","0.20","0.20"
"07139P","敦泰國票23售01","","0.64"
"07141P","振樺電國票23售01","","1.00"
"071421","中工凱基22購01","","0.02"
"07143P","貿聯中信21售01","0.53","0.68"
"07144P","T50正2永豐21售02","","0.08"
"07145P","T50正2永豐21售03","0.03","0.07"
"07146P","T50正2永豐21售04","0.11","0.16"
"07147P","亞德客群益21售02","","0.27"
"07148P","台積電群益21售21","","0.22"
"07149P","台積電群益21售22","","0.45"
"071508","臺企銀群益21購01","","0.04"
"07153P","長榮航群益21售09","","2.56"
"071556","中興電統一24購01","0.79","0.65"
"07155P","台灣50麥證23售04","0.05","0.07"
"071562","上品統一24購02","0.59","0.68"
"07156P","台灣50麥證23售05","0.55","0.61"
"071571","T50正2元大24購01","","0.12"
"071572","S&P反1元大22購01","0.49","0.52"
"071573","道瓊反元大24購01","0.29","0.26"
"07157P","友達麥證23售01","","0.26"
"07158P","聯發科麥證21售02","","0.01"
"07159P","聯發科麥證23售02","","0.07"
"07160P","開發金麥證21售02","","0.14"
"071610","元晶元大21購03","","0.03"
"071611","元晶元大24購01","0.29","0.28"
"071626","聯發科元富21購14","0.16","0.32"
"071637","臺企銀元富21購01","","0.26"
"07164P","長榮航凱基22售05","","0.78"
"07167P","鴻海元富21售02","","0.10"
"071699","台積電中信22購03","0.17","0.19"
"071700","台積電中信22購04","","0.15"
"071701","台積電中信22購05","0.10","0.12"
"07170P","長榮元富22售12","","0.86"
"07171P","長榮元富24售06","1.38","1.39"
"07173P","鈺齊元富21售04","","1.13"
"071744","遠東銀元富24購01","","0.35"
"071746","世芯元富24購01","0.48","0.49"
"07174P","道瓊銀國票22售01","","0.05"
"071753","臺股指麥證22購02","","0.30"
"071756","鴻海統一21購03","","0.28"
"07175P","東陽國票21售01","","0.13"
"071760","大立光統一22購01","","4.73"
"071768","T50反1國票21購02","","0.37"
"071769","T50反1國票22購02","","0.36"
"071771","T50反1國票24購01","","0.39"
"071772","T50反1國票27購01","0.39","0.40"
"07178P","聯電國票22售03","0.14","0.14"
"07179P","智邦國票23售01","","0.05"
"071806","臺企銀凱基24購01","","0.10"
"07181P","創意國票22售05","","0.04"
"071822","臺股指凱基24購01","","0.01"
"071828","南電富邦21購01","","0.01"
"07182P","健策國票23售01","","0.06"
"071834","臺指反元大24購01","","0.46"
"071839","台塑元大21購02","","0.06"
"07183P","富采國票23售02","","0.05"
"071842","東鹼元大24購01","0.14","0.17"
"071843","東鹼元大24購02","","0.12"
"07185P","樺漢國票22售03","","0.52"
"07186P","穎崴國票23售02","","0.05"
"07187P","富邦媒國票23售01","1.16","1.17"
"071883","安集元大24購01","","0.13"
"071884","富鼎元大21購01","0.39","0.58"
"071889","華新第一26購01","","2.48"
"07188P","台積電國泰23售09","","0.47"
"071890","南電第一26購01","0.22","0.27"
"071891","華新康和1C購01","","5.25"
"07189P","台積電國泰23售10","0.30","0.35"
"071907","開發金群益22購01","","0.02"
"07190P","瑞昱國泰23售01","0.77","0.77"
"07191P","新唐國泰23售01","","0.32"
"071929","A50正2凱基21購01","","0.10"
"07192P","台積電元大21售28","","0.05"
"07193P","國泰金元大21售03","0.83","0.81"
"07194P","智易元大21售04","","0.04"
"07195P","華孚元大21售04","","0.17"
"071966","鴻海國泰1C購02","0.03","0.20"
"071972","華新元富21購01","","1.57"
"07197P","聯詠中信23售01","","0.17"
"071982","台積電富邦23購02","","0.19"
"071983","一詮富邦23購01","","0.01"
"071987","聯電兆豐1C購02","0.06","0.06"
"071989","華新統一1C購01","","1.53"
"07198P","臺股指中信26售01","","0.38"
"071994","聯電統一1C購05","","0.08"
"071998","東哥統一22購01","","2.15"
"071999","香港反元大1C購01","","0.28"
"07199P","景碩群益21售06","0.90","0.80"
"072004","華新元大1C購01","1.33","2.32"
"072029","晶華元大1C購02","","2.17"
"07202P","台灣50台新21售04","","0.10"
"07203P","台積電台新21售02","","0.01"
"072043","振樺電元大1C購01","","0.14"
"072054","華航第一26購01","0.30","0.28"
"072055","聯詠第一29購01","0.80","0.76"
"07206P","台積電凱基27售05","0.32","0.37"
"07207P","華孚凱基21售02","","0.19"
"072122","華通元大24購01","0.17","0.24"
"072142","長榮航元大24購04","0.13","0.13"
"07214P","潤泰新國票23售01","","0.29"
"072154","華新統一1C購02","1.55","1.56"
"072155","華新統一21購01","","1.69"
"072157","聯電統一24購01","0.49","0.54"
"072158","台積電統一21購03","","0.19"
"07215P","友達國泰23售01","1.31","1.29"
"072161","長榮統一23購09","","0.03"
"072162","陽明統一23購06","","0.07"
"072168","愛普統一1C購01","","0.01"
"072175","T50反1凱基22購01","","1.00"
"072176","T50反1凱基24購01","","0.56"
"072177","T50反1凱基24購02","","0.71"
"072179","臺指反凱基24購01","0.49","0.51"
"07217P","T50正2元大23售06","0.27","0.32"
"072181","元油反凱基21購03","","0.59"
"072188","聯電凱基22購01","","0.38"
"07219P","華航中信21售01","","0.43"
"072204","大立光凱基22購01","4.30","5.08"
"07220P","台積電群益21售23","","0.02"
"072219","國巨富邦22購01","0.34","0.34"
"07221P","長榮航群益21售10","","0.11"
"072222","華新康和1C購02","0.04","0.43"
"072226","南亞科兆豐1C購01","","0.04"
"072231","矽創兆豐1C購01","","0.01"
"072244","中砂統一1C購04","","0.02"
"072245","華新統一1C購03","","0.35"
"072246","華新統一22購01","1.22","1.21"
"072247","華新統一24購01","0.51","0.53"
"07224P","旺宏元富21售01","0.04","0.08"
"072253","大立光統一34購01","1.39","1.40"
"07225P","智邦元富21售02","","0.27"
"072266","華新國票1C購01","0.02","0.25"
"07227P","嘉澤元富21售02","","0.01"
"07228P","T50反1國泰23售03","","0.37"
"072295","京鼎元富24購01","0.15","0.17"
"072298","台積電麥證21購03","","0.23"
"07229P","華碩國泰23售01","","0.65"
"072302","鴻海群益21購01","","0.10"
"07230P","創意國泰23售01","0.07","0.13"
"072316","華新富邦1C購01","","1.66"
"07231P","台積電元大21售32","","0.10"
"072320","台灣50凱基21購02","0.03","0.03"
"07232P","台積電元大24售05","","0.10"
"072333","聯電凱基22購03","","0.09"
"072349","大立光凱基1C購06","","9.65"
"07234P","友達國票21售02","","0.61"
"072363","道瓊反元大22購01","0.36","0.39"
"072364","中砂元大21購01","","0.05"
"072366","華新元大1C購02","","0.41"
"072367","華新元大21購01","0.95","1.07"
"072368","華新元大21購02","1.55","1.67"
"072369","華新元大21購03","0.50","0.52"
"07236P","力積電國票21售03","","0.68"
"07238P","大立光凱基25售02","0.60","0.66"
"072399","台表科元大21購01","","0.19"
"07239P","大立光凱基27售05","0.84","0.91"
"072407","東哥元大21購01","","2.56"
"07241P","美時群益23售04","","0.12"
"072428","宏達電群益1C購04","0.56","1.23"
"07242P","台勝科群益21售02","","0.33"
"072435","美時統一24購02","1.88","1.93"
"072439","華航統一24購01","","0.05"
"07243P","威鋒電群益21售02","","0.70"
"072441","國光生統一22購01","","0.15"
"072442","國光生統一24購01","0.15","0.15"
"072446","三福化統一21購01","","0.05"
"072449","三福化統一24購01","","0.13"
"07244P","金像電康和23售01","","0.08"
"072450","三福化統一24購02","","0.28"
"07247P","台積電國票22售07","","0.24"
"07248P","友達國票22售02","","0.23"
"072498","台積電富邦23購04","","0.07"
"072499","台亞富邦22購01","","0.23"
"07249P","奇鋐國票23售02","","0.17"
"072500","技嘉富邦1C購01","","0.34"
"072501","潤泰新富邦1C購01","0.05","0.11"
"072503","大成鋼元富24購01","0.17","0.14"
"072507","技嘉元富21購01","1.80","1.67"
"07250P","群創國票21售02","","0.32"
"07251P","群創國票23售01","","0.07"
"072527","世紀鋼元富24購01","","0.03"
"07252P","臺股指凱基26售05","","1.05"
"072536","台灣50元大1C購04","","0.03"
"07253P","臺股指凱基26售06","1.37","1.41"
"07254P","長榮元富21售15","","5.67"
"07257P","南電元富21售03","","0.40"
"072584","鴻海康和1C購01","","0.97"
"07258P","國巨麥證23售01","","0.15"
"07259P","台積電麥證26售03","","0.81"
"07260P","佳世達麥證21售01","0.04","0.07"
"072610","旺宏兆豐1C購01","","0.19"
"072612","飛宏兆豐1C購01","0.01","0.12"
"072615","中砂統一1C購05","","0.17"
"072616","勝一統一1C購02","0.01","0.01"
"072618","飛宏統一21購01","","0.23"
"072621","嘉晶統一24購01","","0.10"
"072623","玉晶光統一1C購04","","0.10"
"072625","樺漢統一22購01","0.52","0.49"
"072631","中砂國泰1C購01","","0.28"
"072636","強茂國泰1C購01","","0.01"
"072637","世芯國泰1C購02","","0.10"
"07263P","瑞昱元大21售07","","0.08"
"072644","威致元大21購01","","0.10"
"07264P","群創中信22售02","","0.04"
"072662","華航元大24購02","0.26","0.26"
"072665","長榮航元大24購06","","0.17"
"07266P","陽明麥證27售01","","1.33"
"072675","振樺電元大21購01","","0.08"
"072676","鈺齊元大1C購01","0.34","0.55"
"07268P","道瓊指群益24售01","0.31","0.33"
"072692","聯發科元富24購02","0.39","0.67"
"07269P","中興電群益23售02","","0.13"
"07272P","華航群益21售06","","1.16"
"072738","裕民第一26購01","","0.32"
"072739","慧洋第一26購01","0.14","0.13"
"072740","貿聯第一26購01","","0.47"
"072741","中興電永豐1C購01","0.66","0.44"
"072754","元金2X群益1C購02","","0.01"
"07275P","三福化群益23售01","","0.51"
"07276P","愛普群益21售01","","0.15"
"072788","華擎兆豐1C購01","0.06","0.03"
"07278P","臺股指群益24售01","","0.43"
"072790","臻鼎兆豐1C購01","0.49","0.86"
"072791","美時統一1C購02","","5.60"
"072795","台積電統一22購03","","0.09"
"072797","飛宏統一24購01","","0.40"
"07279P","瑞昱國票21售03","0.03","0.07"
"072800","裕民統一22購01","0.16","0.11"
"07280P","貿聯國票23售01","","0.79"
"072810","高股息凱基21購01","","0.02"
"07281P","聯電國泰23售05","","0.11"
"07282P","台積電國泰23售11","0.65","0.73"
"07283P","台積電國泰23售12","","0.68"
"07284P","健策國泰23售01","","0.12"
"072852","長榮航元富21購01","0.06","0.08"
"07285P","台積電凱基21售30","","0.02"
"072861","國巨元大1C購03","","0.33"
"072864","台積電元大23購04","","0.20"
"07286P","台積電凱基21售31","","0.01"
"07288P","南亞科凱基21售01","","0.06"
"072890","台灣50富邦22購01","","0.17"
"07289P","長榮凱基21售23","","2.14"
"072909","鴻海國票21購01","","0.16"
"07290P","長榮凱基21售24","0.96","1.09"
"07292P","欣興凱基21售10","","0.24"
"072938","台積電凱基27購02","1.07","1.12"
"072939","台積電凱基2A購01","1.00","1.12"
"07293P","電子類凱基24售03","0.61","0.64"
"07294P","聯電元大21售18","0.08","0.09"
"072953","大立光凱基21購03","","3.00"
"072964","聯電國泰1C購05","","0.51"
"07296P","金像電元大21售05","","0.11"
"072970","中興電元富21購01","2.26","1.72"
"072976","國泰金元富24購01","","0.10"
"072978","富采元富24購01","","0.10"
"072980","中砂統一1C購06","","0.03"
"072988","裕民統一24購01","","0.10"
"072995","慧洋統一21購01","","0.01"
"072998","新唐統一23購03","","0.10"
"073002","T50正2元大24購02","0.09","0.11"
"073004","中興電元大23購01","0.74","0.54"
"073005","中砂元大1C購02","","0.19"
"073007","美時元大1C購01","","5.35"
"073027","長榮航元大1C購09","","0.11"
"073028","長榮航元大23購01","","0.08"
"07302P","欣興國泰23售02","0.78","0.79"
"073030","臺企銀元大1C購02","","0.45"
"073035","欣興元大1C購07","","0.01"
"07303P","台灣50國票22售04","0.31","0.32"
"073042","元晶元大24購02","","0.04"
"073045","台積電富邦23購06","","0.21"
"07304P","台灣50國票24售02","","0.39"
"07305P","華碩國票22售01","","0.15"
"07306P","金像電國票23售01","","0.05"
"073077","臺指反國票1C購01","","0.54"
"073078","臺指反國票23購01","0.43","0.43"
"073079","臺指反國票24購01","","0.37"
"07307P","長榮航國票22售02","","0.93"
"073093","中磊中信1C購01","","0.09"
"073094","台積電國泰1C購10","","0.12"
"073097","玉晶光富邦24購01","0.45","0.47"
"073099","T50反1兆豐24購01","0.39","0.39"
"07309P","鈺齊國票21售02","0.66","0.66"
"073100","儒鴻兆豐1C購01","0.15","0.19"
"073103","臻鼎兆豐1C購02","0.17","0.52"
"07310P","鴻海康和21售03","","0.47"
"073113","中磊統一1C購01","","0.08"
"073117","大立光麥證24購01","5.15","5.64"
"07311P","台積電康和21售07","","0.10"
"073122","聯電元富24購01","1.19","1.26"
"073127","長榮航元富24購01","0.42","0.41"
"073133","道瓊反凱基21購02","0.29","0.32"
"073134","道瓊反凱基23購01","0.23","0.25"
"073135","元油反凱基21購04","","0.72"
"073137","金寶凱基23購01","0.02","0.02"
"07313P","聯電凱基25售04","","0.25"
"073141","聯發科凱基1C購07","","0.39"
"073142","聯發科凱基1C購08","","0.29"
"07314P","長榮航凱基21售08","0.37","0.53"
"07315P","台灣50永豐22售01","","0.15"
"073161","道瓊銀元大21購01","","0.24"
"073162","中砂元大1C購03","","0.17"
"07316P","台灣50永豐23售01","0.08","0.10"
"073172","台積電元大1C購11","","0.01"
"07317P","臺股指永豐22售01","0.06","0.07"
"07318P","臺股指永豐23售01","0.16","0.17"
"073193","欣興元大1C購08","","0.04"
"073197","臺股指元大23購05","","0.09"
"073198","臺股指元大23購06","","0.14"
"07319P","台積電元大21售40","","0.30"
"073201","臺股指元大24購07","0.08","0.10"
"073202","臺股指元大24購08","0.15","0.17"
"073203","道瓊反國票21購01","","0.13"
"07320P","台積電元大24售06","0.54","0.59"
"073222","世芯兆豐1C購02","","0.56"
"073223","中磊兆豐1C購01","0.09","0.09"
"07323P","長榮元大21售30","1.64","1.78"
"07324P","群創元大21售04","0.23","0.26"
"07326P","聯詠富邦23售05","","0.09"
"07327P","兆豐金中信21售01","","0.81"
"073292","大立光凱基1C購08","","9.10"
"07329P","臺股指中信23售12","","0.20"
"073302","臺股指凱基21購12","","0.04"
"073306","台積電麥證24購01","0.48","0.50"
"07330P","臺股指中信23售13","","0.63"
"073311","滬深2X元大23購01","0.70","0.67"
"073320","台積電元大1C購12","","0.02"
"07332P","台勝科群益21售04","","0.12"
"07333P","台灣50國票21售03","","0.10"
"073350","樺漢元大1C購03","0.31","0.29"
"073354","AES元大1C購01","","0.10"
"073355","AES元大23購01","","0.20"
"073359","臺指反富邦24購01","","0.42"
"07335P","玉山金國票21售02","","0.33"
"073360","美時富邦23購01","","3.25"
"073361","聯電富邦1C購04","0.48","0.54"
"07338P","振樺電國票23售02","","1.02"
"073391","中興電統一24購02","0.56","0.45"
"073392","大榮統一23購01","","0.34"
"07339P","臺股指國票21售19","","0.26"
"07341P","聯電元大23售10","","0.77"
"07342P","聯電元大25售09","","0.20"
"073437","滬深2X國泰1C購01","","0.54"
"07343P","智邦元大23售04","","1.26"
"073440","AES國泰1C購01","","0.11"
"073448","台達電元大1C購01","0.07","0.34"
"07344P","臺股指元大23售37","0.54","0.54"
"073451","台積電元大1C購13","","0.04"
"073454","飛宏元大1C購04","0.11","0.23"
"07345P","臺股指元大23售38","0.24","0.28"
"07346P","臺股指元大23售39","0.38","0.44"
"073473","上緯控元大24購01","","0.13"
"073475","日月光元大1C購01","0.95","1.15"
"073478","臻鼎元大24購01","0.76","1.03"
"07347P","臺股指元大25售20","","0.68"
"073481","樺漢元大1C購04","0.26","0.26"
"073485","南電元大1C購01","","0.01"
"07348P","臺股指元大25售21","0.79","0.82"
"073491","世紀鋼元大24購01","","0.06"
"073493","台灣50凱基23購01","","0.04"
"073494","T50反1凱基23購01","0.29","0.30"
"073495","T50反1凱基24購03","0.24","0.25"
"073496","滬深2X凱基23購01","","0.08"
"073497","滬深2X凱基23購02","","0.51"
"073498","S&P反1凱基24購01","0.40","0.42"
"073499","臺指反凱基24購02","0.37","0.38"
"07349P","台灣50凱基25售10","","0.62"
"073500","道瓊反凱基23購02","0.25","0.26"
"073501","中興電凱基1C購01","0.65","0.43"
"073502","美時凱基1C購01","","13.50"
"073504","華通凱基1C購01","0.26","0.78"
"07350P","台灣50凱基25售11","","0.69"
"07351P","聯電凱基27售02","0.28","0.30"
"073526","台表科凱基1C購01","","0.55"
"07352P","台積電凱基21售33","0.73","0.81"
"073530","臺股指凱基21購13","","0.02"
"073531","友達富邦1C購02","","0.05"
"073532","欣興富邦23購01","0.13","0.16"
"073533","康舒富邦1C購01","0.35","0.33"
"07353P","台積電凱基21售34","0.22","0.27"
"07354P","台積電凱基24售04","1.29","1.37"
"073550","T50反1國泰21購01","","0.21"
"073551","中興電國泰21購01","2.60","1.85"
"073552","國巨國泰21購01","","0.70"
"073556","聯發科國泰21購02","","0.50"
"073558","矽力國泰21購01","","0.04"
"07355P","台積電凱基25售10","1.38","1.48"
"07356P","智邦凱基22售01","","0.21"
"073574","上銀元富25購01","","0.89"
"07357P","智邦凱基22售05","","0.08"
"07358P","宏碁凱基23售01","","0.17"
"073593","群創麥證21購01","","0.51"
"073598","中鋼構凱基23購01","0.08","0.10"
"073607","飛宏凱基21購01","","0.67"
"07360P","技嘉凱基23售01","","0.01"
"07361P","友達凱基22售01","","0.25"
"073625","樺漢凱基21購02","","0.56"
"073632","FANG+統一21購01","","0.10"
"073635","新光鋼統一23購01","","0.09"
"073636","台達電統一21購01","","1.23"
"073638","台積電統一2B購02","","0.55"
"07363P","長榮凱基29售01","2.22","2.28"
"073643","萬海統一25購01","0.05","0.05"
"073644","台勝科統一25購01","","0.30"
"073645","康普統一22購01","","0.07"
"073650","T50反1元大25購01","0.40","0.41"
"073651","T50反1元大25購02","","0.43"
"073653","臺指反元大25購01","","0.42"
"073654","臺指反元大25購02","","0.41"
"073655","臺指反元大25購03","","0.47"
"073657","中鋼構元大25購01","","0.40"
"073664","台積電元大21購04","","0.32"
"073666","友達元大21購02","","0.05"
"073669","聯發科元大35購01","0.80","0.97"
"07366P","富邦金凱基22售03","","0.13"
"073675","長榮航元大25購01","0.26","0.26"
"073680","台勝科元大21購01","","0.09"
"073681","台表科元大21購02","","0.48"
"073687","台亞富邦23購02","","0.40"
"073688","新光金國泰21購01","","0.15"
"073689","聯詠國泰21購01","","0.23"
"07368P","群創凱基22售02","","0.18"
"073690","聯詠國泰21購02","0.03","0.04"
"073694","台達電第一28購01","","1.43"
"07369P","台勝科凱基22售01","","0.42"
"07370P","台勝科凱基22售02","","0.20"
"073712","聯詠中信21購01","","0.05"
"073713","欣興中信22購01","","0.02"
"073719","聯電國票21購01","0.11","0.30"
"07371P","健策凱基22售02","","0.13"
"07372P","鈺齊凱基22售02","0.60","0.71"
"07373P","臺股指凱基26售12","1.14","1.21"
"073740","台積電麥證22購01","","0.30"
"07374P","臺股指凱基26售13","1.13","1.18"
